ax,ay,az,gx,gy,gz,name,n
-1432,525,15991,472,-1752,124,L,0
-865,442,16999,206,-1432,85,L,0
-53,381,16454,385,-1128,29,L,0
-2392,440,15922,391,-570,-403,L,0
-43,357,16071,178,-444,-221,L,0
-1509,388,16288,-21,-390,-358,L,0
-102,501,16821,-185,-679,4,L,0
-816,497,17557,-220,-435,-277,L,0
-2304,506,18181,-122,-193,-343,L,0
-2085,872,20388,-89,91,100,L,0
-1587,908,23574,364,854,355,L,0
-1048,433,29720,1695,611,225,L,0
-3852,-543,32764,5179,-492,-212,L,0
-6128,-2214,32764,12556,-2248,375,L,0
-3502,-5111,32764,24336,-4345,1845,L,0
4333,-8194,32764,32272,-6974,2031,L,0
4537,-8075,25620,32764,-7257,-1785,L,0
267,-5019,12030,32764,-4078,-5334,L,0
-1041,-2307,4571,32764,-371,-5126,L,0
-486,923,-4010,32612,4075,-3334,L,0
296,2607,-6829,28415,5607,-1761,L,0
-314,4348,-7463,20873,3510,-359,L,0
1264,5440,-8362,14863,886,1078,L,0
2892,6427,-8030,9881,373,1146,L,0
1603,7051,-5842,5565,968,20,L,0
-18,6985,-5624,2702,1393,-579,L,0
-116,6823,-7612,-26,1186,-536,L,0
-1157,6573,-6449,-3949,869,-656,L,0
-2207,6740,-3931,-7293,-198,-436,L,0
-1587,6688,-2732,-9621,-250,152,L,0
-1501,6290,-1760,-11946,-207,377,L,0
-1458,5596,-621,-14526,-79,565,L,0
-2180,4707,1622,-17328,-857,911,L,0
-2142,3852,4071,-19930,-2981,1821,L,0
-1825,3107,6406,-22091,-4469,2827,L,0
-1279,2548,7409,-23874,-5183,3758,L,0
-920,697,8410,-26278,-3039,4628,L,0
-3526,-1228,10048,-29183,-2046,5391,L,0
-2310,-2166,18483,-32110,-3399,7762,L,0
3829,-1679,30772,-32673,-2385,10153,L,0
5002,-1500,32764,-29264,2067,8886,L,0
722,-1349,32764,-22345,3996,6377,L,0
1708,-1172,32764,-17818,2404,6788,L,0
9519,-486,32764,-12912,505,7456,L,0
12328,394,32764,-7303,2134,4302,L,0
11314,943,32751,-2997,4162,-367,L,0
13357,1549,32391,1038,5393,-4168,L,0
23681,2200,31097,5319,5041,-8583,L,0
28534,-538,21194,10132,6907,-17406,L,0
21886,-3770,11748,12111,6760,-28820,L,0
12741,-5501,17460,9895,3581,-32739,L,0
3270,-10471,19568,10404,4774,-32764,L,0
-10389,-11219,11357,13292,5300,-32764,L,0
-15314,-7695,5876,12274,783,-32764,L,0
-13685,-6971,8272,7756,691,-31679,L,0
-18874,-6522,9744,4567,4305,-27116,L,0
-21069,-4527,9817,2745,3169,-20579,L,0
-16413,-3733,8720,970,1891,-12740,L,0
-14784,-3610,9836,-1244,1583,-7511,L,0
-17507,-3766,12314,-2940,1728,-3837,L,0
-19026,-4594,11476,-3179,308,1036,L,0
-16831,-5174,11161,-4150,-1447,6539,L,0
-14935,-6189,12377,-5750,-1916,11039,L,0
-21130,-8135,13505,-6992,-2999,14851,L,0
-25552,-10381,14941,-7804,-5915,21983,L,0
